id,area,latitude,longitude,crime_type,severity,date,time,time_of_day,target_group,gender,age,age_group,crime_count,police_station,status
749,Utraon Bazar Chowki,25.4481,81.7277,Harassment,3,13-01-2025,11:50,Morning,Young Female,Female,16,Teen,3,Utraanv PS,Closed
963,Tharwai Chowki,25.566,81.846,Kidnapping,5,06-02-2025,02:31,Night,Young Female,Female,15,Teen,1,Tharwai PS,Reported
4976,Phaphamau Chowki,25.5587,81.7654,Domestic Violence,2,08-12-2025,01:57,Night,Adult Female,Female,28,Adult,1,Jhunsi PS,Reported
4459,Roshangarh Chowki,25.4461,81.7599,Chain Snatching,1,27-11-2025,07:42,Morning,Adult Female,Female,37,Adult,2,Kareli PS,Unreported
3899,University Chowki,25.5357,81.7905,Chain Snatching,2,21-04-2025,16:51,Afternoon,Adult Female,Female,37,Adult,3,Colonelganj PS,Reported
2426,Rambagh Chowki,25.4743,81.8211,Fraud,1,03-09-2025,22:30,Night,Older Female,Female,69,Senior,1,Kydganj PS,Unreported
865,Mahila Thana Outpost,25.3461,81.7519,Chain Snatching,3,03-04-2025,05:22,Morning,Young Female,Female,17,Teen,3,Mahila Thana PS,Unreported
3946,Tagore Town Chowki,25.4425,81.792,Domestic Violence,2,25-05-2025,14:41,Afternoon,Adult Female,Female,48,Adult,1,George Town PS,Unreported
2265,Holagarh Chowki,25.5067,81.8429,Fraud,2,23-12-2025,07:26,Morning,Adult Female,Female,52,Adult,2,Holagadh PS,Closed
1793,Bahariya Bazar Chowki,25.552,81.7057,Robbery,4,21-12-2025,13:29,Afternoon,Adult Male,Male,44,Adult,2,Bahariya PS,Under Investigation
2988,Baraut Chowki,25.5751,81.7378,Harassment,5,06-04-2025,00:31,Night,Young Female,Female,16,Teen,1,Handia PS,Reported
4103,Nagvasuki Chowki,25.3008,81.8941,Robbery,4,20-06-2025,17:06,Evening,Older Female,Female,60,Senior,3,Daraganj PS,Reported
4971,Chhota Baghada Chowki,25.3307,81.8581,Robbery,4,16-03-2025,12:29,Afternoon,Adult Female,Female,56,Adult,3,George Town PS,Under Investigation
2519,Roshangarh Chowki,25.5506,81.7368,Theft,4,13-01-2025,20:55,Evening,Older Male,Male,63,Senior,3,Kareli PS,Under Investigation
2568,Salori Chowki,25.3581,81.8898,Kidnapping,1,27-03-2025,05:23,Morning,Children,Male,5,Child,3,Colonelganj PS,Under Investigation
143,Bairahana Chowki,25.4609,81.7587,Harassment,2,04-04-2025,07:21,Morning,Young Female,Female,25,Adult,3,Kydganj PS,Closed
864,Ghoorpur Chowki,25.3711,81.8725,Fraud,2,03-10-2025,06:48,Morning,Young Female,Female,23,Adult,1,Ghoorpur PS,Closed
2933,Loknath Chowki,25.4996,81.7719,Fraud,5,20-03-2025,19:28,Evening,Young Male,Male,24,Adult,1,Kotwali PS,Under Investigation
4365,Bamrauli Chowki,25.3241,81.8265,Chain Snatching,5,22-06-2025,05:19,Morning,Adult Female,Female,39,Adult,2,Dhoomanganj PS,Unreported
4099,Bairahana Chowki,25.3559,81.8026,Domestic Violence,2,01-05-2025,19:45,Evening,Adult Female,Female,33,Adult,2,Kydganj PS,Unreported
4524,Gauhaniya Chowki,25.3005,81.7518,Domestic Violence,4,08-04-2025,15:26,Afternoon,Adult Female,Female,39,Adult,1,Karchhana PS,Unreported
181,ADA Colony Chowki,25.5615,81.8077,Fraud,3,28-08-2025,04:06,Night,Adult Female,Female,28,Adult,2,Industrial Area PS,Reported
3590,Jasra Chowki,25.4152,81.7582,Theft,5,07-02-2025,07:01,Morning,Adult Female,Female,40,Adult,3,Bara PS,Unreported
199,Kaundhiyara Chowki,25.5089,81.7489,Harassment,1,27-12-2025,07:06,Morning,Young Female,Female,24,Adult,2,Kaundhiyara PS,Unreported
3372,Salori Chowki,25.5226,81.8864,Domestic Violence,3,19-04-2025,02:17,Night,Adult Female,Female,46,Adult,2,Colonelganj PS,Closed
652,Shankargarh Chowki,25.5376,81.8796,Kidnapping,5,15-12-2025,09:04,Morning,Children,Male,11,Child,1,Shankargadh PS,Unreported
4836,Beli Road Chowki,25.3702,81.8179,Robbery,5,02-02-2025,14:21,Afternoon,Adult Male,Male,54,Adult,1,Colonelganj PS,Closed
4149,Rajrooppur Chowki,25.3853,81.7035,Chain Snatching,5,11-07-2025,19:26,Evening,Adult Female,Female,30,Adult,1,Dhoomanganj PS,Under Investigation
908,Manauri Chowki,25.3399,81.7075,Chain Snatching,3,20-10-2025,11:29,Morning,Young Female,Female,25,Adult,1,Puramufti PS,Under Investigation
3180,Saidabad Chowki,25.3236,81.8485,Kidnapping,1,05-08-2025,07:42,Morning,Young Female,Female,17,Teen,3,Handia PS,Under Investigation
4324,Sulem Sarai Chowki,25.5558,81.8156,Domestic Violence,4,02-10-2025,18:53,Evening,Adult Female,Female,37,Adult,1,Dhoomanganj PS,Under Investigation
1361,Lal Gopalganj Chowki,25.3147,81.7632,Theft,1,01-07-2025,06:11,Morning,Adult Female,Female,58,Adult,3,Nawabganj PS,Closed
3886,Holagarh Chowki,25.5727,81.8389,Harassment,3,13-12-2025,21:41,Night,Young Female,Female,25,Adult,1,Soraon PS,Closed
141,Bamrauli Chowki,25.4563,81.747,Theft,2,27-08-2025,12:46,Afternoon,Older Female,Female,67,Senior,1,Airport PS,Unreported
2347,Phaphamau Bazar Chowki,25.3274,81.7791,Domestic Violence,5,13-01-2025,08:07,Morning,Adult Female,Female,49,Adult,2,Phaphamau PS,Under Investigation
4472,Old Jhunsi Chowki,25.3327,81.8323,Chain Snatching,2,03-12-2025,06:58,Morning,Young Female,Female,18,Teen,1,Jhunsi PS,Unreported
4380,Thornhill Road Chowki,25.4093,81.7116,Kidnapping,2,28-09-2025,03:13,Night,Children,Male,10,Child,3,Civil Lines PS,Under Investigation
186,Manda Road Chowki,25.3657,81.7212,Robbery,4,12-07-2025,01:01,Night,Adult Female,Female,45,Adult,3,Manda PS,Closed
101,Phaphamau Bazar Chowki,25.3951,81.7198,Fraud,3,11-05-2025,03:44,Night,Young Female,Female,22,Adult,3,Phaphamau PS,Under Investigation
1235,Khiri Chowki,25.3472,81.8172,Fraud,2,14-02-2025,19:07,Evening,Adult Male,Male,54,Adult,2,Khiri PS,Unreported
1173,Manauri Chowki,25.5253,81.741,Fraud,1,28-04-2025,14:02,Afternoon,Adult Female,Female,31,Adult,2,Puramufti PS,Closed
4610,Atala Chowki,25.3676,81.7898,Chain Snatching,1,12-02-2025,21:18,Night,Adult Female,Female,46,Adult,2,Khuldabad PS,Closed
2109,Janghai Chowki,25.4234,81.7419,Robbery,5,23-01-2025,04:16,Night,Older Female,Female,61,Senior,2,Sarai Mamrej PS,Reported
3186,Sikandra Chowki,25.4369,81.7844,Robbery,5,02-01-2025,00:12,Night,Adult Female,Female,29,Adult,3,Phulpur PS,Unreported
4419,Nari Bari Chowki,25.3244,81.7834,Robbery,4,16-10-2025,20:13,Evening,Adult Female,Female,28,Adult,1,Karchhana PS,Under Investigation
215,Sirsa Chowki,25.5894,81.7559,Theft,1,14-09-2025,07:09,Morning,Older Male,Male,65,Senior,3,Meja PS,Under Investigation
3447,Mansoor Ali Park Chowki,25.4054,81.8396,Chain Snatching,2,06-03-2025,04:33,Night,Adult Female,Female,50,Adult,3,Khuldabad PS,Closed
741,SRN Hospital Chowki,25.4733,81.8425,Fraud,3,30-12-2025,08:23,Morning,Older Female,Female,65,Senior,2,Civil Lines PS,Closed
2851,Laxmi Talkies Chowki,25.4711,81.8359,Chain Snatching,3,17-05-2025,19:22,Evening,Adult Female,Female,52,Adult,2,Mutthiganj PS,Under Investigation
376,Lalapur Chowki,25.3866,81.8959,Fraud,1,23-06-2025,04:17,Night,Adult Female,Female,55,Adult,1,Lalapur PS,Under Investigation
1002,Kaundhiyara Chowki,25.5851,81.7509,Robbery,4,18-10-2025,15:35,Afternoon,Adult Female,Female,43,Adult,2,Kaundhiyara PS,Closed
4696,Noorullah Road Chowki,25.503,81.7533,Robbery,2,02-01-2025,06:31,Morning,Adult Male,Male,28,Adult,1,Shahganj PS,Closed
681,Manda Road Chowki,25.5727,81.7848,Kidnapping,4,26-11-2025,23:53,Night,Young Female,Female,19,Teen,1,Manda PS,Closed
2364,Utraon Bazar Chowki,25.4394,81.8831,Fraud,2,24-08-2025,04:35,Night,Young Female,Female,23,Adult,2,Utraanv PS,Unreported
105,SRN Hospital Chowki,25.4714,81.7216,Theft,2,08-10-2025,11:27,Morning,Young Male,Male,25,Adult,2,Civil Lines PS,Under Investigation
2767,Nari Bari Chowki,25.4628,81.7184,Robbery,5,17-02-2025,17:23,Evening,Older Male,Male,60,Senior,1,Karchhana PS,Under Investigation
596,Holagarh Chowki,25.485,81.8278,Fraud,1,17-01-2025,04:03,Night,Older Male,Male,68,Senior,3,Holagadh PS,Under Investigation
2621,Lukerganj Chowki,25.4029,81.7567,Robbery,5,17-06-2025,10:06,Morning,Adult Female,Female,58,Adult,2,Colonelganj PS,Under Investigation
3295,SRN Hospital Chowki,25.5839,81.8476,Assault,5,19-12-2025,13:23,Afternoon,Adult Male,Male,35,Adult,1,Civil Lines PS,Under Investigation
961,Mahila Thana Outpost,25.5165,81.748,Chain Snatching,2,09-09-2025,01:54,Night,Adult Female,Female,53,Adult,3,Mahila Thana PS,Reported
228,Bamrauli Chowki,25.4839,81.7845,Fraud,2,28-10-2025,09:36,Morning,Adult Female,Female,51,Adult,2,Airport PS,Under Investigation
2709,Govindpur Chowki,25.4457,81.7097,Kidnapping,1,25-07-2025,14:43,Afternoon,Children,Male,11,Child,2,Shivkuti PS,Closed
2203,Khiri Chowki,25.3756,81.8515,Domestic Violence,4,11-04-2025,16:53,Afternoon,Adult Female,Female,46,Adult,2,Khiri PS,Reported
3552,Noorullah Road Chowki,25.3285,81.7499,Assault,4,07-03-2025,08:48,Morning,Adult Male,Male,44,Adult,2,Shahganj PS,Unreported
2783,Shankargarh Road Chowki,25.3309,81.892,Kidnapping,2,09-12-2025,12:10,Afternoon,Young Female,Female,20,Adult,3,Bara PS,Unreported
292,Manauri Chowki,25.361,81.7794,Fraud,2,23-08-2025,01:01,Night,Older Female,Female,67,Senior,2,Puramufti PS,Closed
4753,Kala Danda Chowki,25.327,81.7516,Robbery,5,20-03-2025,01:47,Night,Adult Female,Female,27,Adult,2,Shahganj PS,Reported
2314,Khiri Chowki,25.4408,81.773,Robbery,4,28-05-2025,09:37,Morning,Adult Female,Female,47,Adult,3,Khiri PS,Under Investigation
259,Akbarpur Chowki,25.5234,81.793,Kidnapping,5,22-09-2025,18:16,Evening,Children,Female,8,Child,2,Kareli PS,Closed
889,Gauhaniya Chowki,25.3983,81.7673,Harassment,1,24-01-2025,14:21,Afternoon,Children,Female,11,Child,3,Karchhana PS,Under Investigation
2916,Katra Chowki,25.4093,81.7392,Assault,1,01-10-2025,00:35,Night,Adult Female,Female,31,Adult,2,Kotwali PS,Closed
3275,Nawabganj Chowki,25.5361,81.8348,Harassment,3,16-07-2025,06:47,Morning,Adult Female,Female,43,Adult,2,Soraon PS,Reported
677,Govindpur Chowki,25.5147,81.7832,Assault,2,15-10-2025,00:51,Night,Adult Male,Male,39,Adult,2,Shivkuti PS,Reported
842,Shankargarh Chowki,25.5253,81.8804,Assault,3,05-04-2025,06:30,Morning,Adult Female,Female,43,Adult,3,Shankargadh PS,Unreported
1164,ADA Colony Chowki,25.4503,81.883,Fraud,1,27-02-2025,09:31,Morning,Adult Female,Female,58,Adult,3,Naini PS,Reported
1368,Buxi Khurd Chowki,25.3548,81.7621,Fraud,2,30-04-2025,21:03,Night,Adult Male,Male,27,Adult,1,Shahganj PS,Under Investigation
1548,Noorullah Road Chowki,25.5209,81.8523,Fraud,2,27-01-2025,12:49,Afternoon,Older Female,Female,66,Senior,1,Shahganj PS,Under Investigation
4001,Jasra Chowki,25.5736,81.8441,Robbery,1,25-06-2025,21:41,Night,Adult Male,Male,54,Adult,1,Bara PS,Under Investigation
4807,Baraut Chowki,25.447,81.818,Theft,2,20-03-2025,00:32,Night,Adult Male,Male,56,Adult,1,Handia PS,Unreported
2635,Govindpur Chowki,25.462,81.8734,Chain Snatching,4,19-09-2025,07:44,Morning,Adult Female,Female,35,Adult,1,Shivkuti PS,Under Investigation
2807,Tagore Town Chowki,25.3684,81.719,Robbery,2,16-02-2025,21:25,Night,Young Female,Female,21,Adult,1,George Town PS,Closed
12,Mauaima Bazar Chowki,25.4055,81.7623,Fraud,1,28-05-2025,14:46,Afternoon,Adult Male,Male,41,Adult,1,Mauaima PS,Closed
718,Holagarh Chowki,25.329,81.8053,Kidnapping,4,20-03-2025,20:16,Evening,Adult Female,Female,29,Adult,3,Holagadh PS,Under Investigation
2972,Andawa Chowki,25.3112,81.7191,Robbery,4,08-07-2025,00:34,Night,Adult Female,Female,35,Adult,3,Jhunsi PS,Under Investigation
2973,Narayani Ashram Chowki,25.3294,81.8381,Kidnapping,5,16-07-2025,15:33,Afternoon,Children,Male,4,Child,1,Shivkuti PS,Unreported
502,Govindpur Chowki,25.5148,81.8591,Fraud,3,03-11-2025,17:35,Evening,Young Male,Male,23,Adult,3,Shivkuti PS,Reported
4129,University Chowki,25.3984,81.7555,Harassment,1,24-11-2025,11:48,Morning,Adult Female,Female,42,Adult,3,Colonelganj PS,Reported
2740,High Court Chowki,25.4854,81.8436,Chain Snatching,4,24-11-2025,00:36,Night,Young Female,Female,19,Teen,2,Civil Lines PS,Under Investigation
4291,Govindpur Chowki,25.4941,81.8564,Harassment,5,29-01-2025,14:26,Afternoon,Adult Female,Female,45,Adult,2,Shivkuti PS,Closed
1127,Manda Chowki,25.4265,81.7717,Fraud,3,28-05-2025,15:14,Afternoon,Adult Male,Male,26,Adult,3,Meja PS,Under Investigation
460,Lal Gopalganj Chowki,25.5099,81.7543,Fraud,2,08-10-2025,12:37,Afternoon,Adult Female,Female,53,Adult,3,Nawabganj PS,Closed
3918,Nawabganj Chowki,25.4925,81.8847,Assault,3,09-04-2025,13:07,Afternoon,Adult Male,Male,39,Adult,2,Soraon PS,Reported
3470,Sirsa Chowki,25.3871,81.8694,Theft,5,28-12-2025,07:59,Morning,Adult Female,Female,31,Adult,1,Meja PS,Reported
454,Khiri Chowki,25.4865,81.7078,Robbery,5,19-12-2025,10:46,Morning,Older Male,Male,65,Senior,3,Khiri PS,Closed
1177,Bahariya Bazar Chowki,25.4295,81.8497,Assault,2,10-01-2025,00:56,Night,Adult Male,Male,44,Adult,2,Bahariya PS,Under Investigation
3507,Beli Road Chowki,25.5454,81.8143,Chain Snatching,3,18-10-2025,00:15,Night,Adult Female,Female,38,Adult,1,Colonelganj PS,Reported
3116,Govindpur Chowki,25.3862,81.8318,Assault,3,12-09-2025,07:16,Morning,Adult Male,Male,39,Adult,2,Shivkuti PS,Closed
1645,Kaundhiyara Chowki,25.5897,81.843,Fraud,1,21-06-2025,13:10,Afternoon,Young Female,Female,25,Adult,3,Kaundhiyara PS,Under Investigation
1375,Narayani Ashram Chowki,25.3808,81.7677,Assault,3,10-07-2025,04:35,Night,Young Male,Male,25,Adult,3,Shivkuti PS,Closed
2897,Chowk Chowki,25.5109,81.7858,Assault,2,11-08-2025,13:49,Afternoon,Adult Male,Male,41,Adult,3,Kotwali PS,Closed
3991,Sikandra Chowki,25.4293,81.7494,Chain Snatching,5,18-01-2025,00:13,Night,Adult Female,Female,50,Adult,3,Phulpur PS,Unreported
3614,Roshangarh Chowki,25.5956,81.7321,Robbery,4,28-05-2025,16:33,Afternoon,Adult Male,Male,57,Adult,1,Kareli PS,Under Investigation
881,SRN Hospital Chowki,25.3961,81.7987,Robbery,5,02-03-2025,06:02,Morning,Young Male,Male,20,Adult,1,Civil Lines PS,Unreported
4905,Holagarh Chowki,25.4329,81.8217,Harassment,2,06-09-2025,11:56,Morning,Young Female,Female,15,Teen,3,Soraon PS,Closed
3152,Nari Bari Chowki,25.4546,81.7015,Kidnapping,2,04-08-2025,17:28,Evening,Young Female,Female,25,Adult,3,Karchhana PS,Unreported
3837,Gaughat Chowki,25.3249,81.7251,Kidnapping,1,07-11-2025,09:27,Morning,Young Female,Female,23,Adult,2,Mutthiganj PS,Unreported
1004,Sadar Bazar Chowki,25.3438,81.7456,Kidnapping,5,08-02-2025,18:33,Evening,Children,Male,4,Child,2,Cantonment PS,Reported
4545,Arail Chowki,25.394,81.8909,Chain Snatching,4,12-01-2025,01:46,Night,Young Female,Female,19,Teen,1,Naini PS,Under Investigation
1118,Lal Gopalganj Chowki,25.5908,81.8685,Fraud,3,29-05-2025,19:32,Evening,Adult Male,Male,39,Adult,2,Nawabganj PS,Under Investigation
3922,Atala Chowki,25.4516,81.8123,Chain Snatching,4,13-12-2025,01:59,Night,Young Female,Female,19,Teen,1,Khuldabad PS,Under Investigation
3188,Bamrauli Chowki,25.4637,81.8751,Robbery,2,08-02-2025,23:07,Night,Adult Male,Male,37,Adult,1,Dhoomanganj PS,Unreported
2008,Nawabganj Chowki,25.4974,81.7123,Domestic Violence,5,05-02-2025,01:42,Night,Adult Female,Female,46,Adult,3,Soraon PS,Closed
537,Lal Gopalganj Chowki,25.5995,81.7756,Robbery,4,02-04-2025,03:42,Night,Adult Female,Female,33,Adult,1,Nawabganj PS,Closed
4840,Narayani Ashram Chowki,25.3026,81.73,Robbery,4,17-04-2025,21:13,Night,Older Male,Male,66,Senior,3,Shivkuti PS,Closed
4256,Atala Chowki,25.5699,81.7588,Kidnapping,1,03-06-2025,22:53,Night,Young Female,Female,21,Adult,2,Khuldabad PS,Closed
698,Goods Shed Chowki,25.5451,81.7528,Chain Snatching,1,03-01-2025,13:01,Afternoon,Adult Female,Female,51,Adult,3,Mutthiganj PS,Unreported
1372,Bakshi Bandh Chowki,25.4461,81.7176,Fraud,3,02-09-2025,10:26,Morning,Adult Female,Female,33,Adult,1,Kydganj PS,Unreported
3379,Rani Mandi Chowki,25.5003,81.7882,Domestic Violence,3,06-04-2025,21:24,Night,Adult Female,Female,50,Adult,2,Khuldabad PS,Closed
1271,Manda Chowki,25.3608,81.7447,Assault,3,13-08-2025,11:08,Morning,Adult Male,Male,36,Adult,3,Meja PS,Closed
2827,Karelabagh Chowki,25.3746,81.8537,Robbery,3,18-07-2025,17:04,Evening,Adult Male,Male,26,Adult,1,Kareli PS,Under Investigation
1665,Attarsuiya Chowki,25.3655,81.7264,Harassment,2,08-07-2025,00:05,Night,Young Female,Female,17,Teen,2,Attarsuiya PS,Unreported
932,Koraon Bazar Chowki,25.3918,81.7509,Robbery,4,13-02-2025,19:21,Evening,Adult Female,Female,42,Adult,2,Koraon PS,Unreported
4659,Beli Road Chowki,25.5747,81.8676,Harassment,4,26-05-2025,20:58,Evening,Adult Female,Female,38,Adult,3,Colonelganj PS,Under Investigation
1306,Lal Gopalganj Chowki,25.3973,81.7024,Chain Snatching,2,11-07-2025,12:56,Afternoon,Adult Female,Female,41,Adult,3,Nawabganj PS,Under Investigation
1076,Akbarpur Chowki,25.542,81.7375,Kidnapping,4,01-11-2025,16:04,Afternoon,Young Female,Female,17,Teen,2,Kareli PS,Under Investigation
4717,Baraut Chowki,25.3319,81.8621,Robbery,5,16-10-2025,17:46,Evening,Older Male,Male,63,Senior,2,Handia PS,Unreported
2752,Rajrooppur Chowki,25.4411,81.7468,Fraud,5,31-03-2025,16:22,Afternoon,Young Male,Male,21,Adult,3,Dhoomanganj PS,Reported
296,Bahariya Bazar Chowki,25.4236,81.7646,Fraud,3,30-08-2025,01:10,Night,Older Female,Female,64,Senior,1,Bahariya PS,Closed
548,Mauaima Bazar Chowki,25.3662,81.7321,Fraud,2,07-05-2025,01:15,Night,Older Female,Female,69,Senior,1,Mauaima PS,Closed
1167,Utraon Bazar Chowki,25.422,81.723,Fraud,3,02-05-2025,03:03,Night,Adult Male,Male,33,Adult,3,Utraanv PS,Reported
1550,Attarsuiya Chowki,25.5368,81.8975,Kidnapping,4,27-03-2025,11:13,Morning,Children,Male,9,Child,2,Attarsuiya PS,Closed
669,Holagarh Chowki,25.5913,81.8394,Kidnapping,5,23-03-2025,21:34,Night,Young Female,Female,20,Adult,1,Soraon PS,Under Investigation
1523,Mahila Thana Outpost,25.4306,81.8877,Robbery,4,08-02-2025,14:50,Afternoon,Adult Female,Female,28,Adult,1,Mahila Thana PS,Under Investigation
3859,Sarai Inayat Chowki,25.3628,81.8614,Kidnapping,4,15-06-2025,21:35,Night,Young Female,Female,16,Teen,3,Phulpur PS,Closed
3909,Nagvasuki Chowki,25.4327,81.8065,Domestic Violence,2,04-09-2025,20:41,Evening,Adult Female,Female,30,Adult,1,Daraganj PS,Unreported
3727,Govindpur Chowki,25.3725,81.7322,Fraud,2,20-12-2025,00:10,Night,Adult Female,Female,47,Adult,1,Shivkuti PS,Under Investigation
4242,Bakshi Bandh Chowki,25.3258,81.8438,Theft,5,07-05-2025,22:29,Night,Young Male,Male,22,Adult,3,Kydganj PS,Reported
2429,Allahpur Chowki,25.3866,81.8924,Harassment,3,27-04-2025,01:49,Night,Adult Female,Female,39,Adult,1,George Town PS,Closed
1302,Attarsuiya Chowki,25.3493,81.7229,Kidnapping,4,03-05-2025,15:40,Afternoon,Adult Female,Female,28,Adult,3,Attarsuiya PS,Closed
40,Holagarh Chowki,25.558,81.7918,Kidnapping,4,09-12-2025,03:04,Night,Adult Female,Female,30,Adult,3,Soraon PS,Under Investigation
451,Phaphamau Bazar Chowki,25.542,81.7614,Kidnapping,4,22-09-2025,06:02,Morning,Adult Female,Female,30,Adult,2,Phaphamau PS,Reported
3333,Kala Danda Chowki,25.3489,81.8968,Kidnapping,3,13-03-2025,14:45,Afternoon,Young Female,Female,20,Adult,3,Shahganj PS,Closed
4457,Bakshi Bandh Chowki,25.5223,81.8656,Chain Snatching,3,20-02-2025,15:37,Afternoon,Young Female,Female,21,Adult,2,Kydganj PS,Unreported
485,Lal Gopalganj Chowki,25.5079,81.8028,Robbery,5,17-04-2025,20:12,Evening,Older Male,Male,61,Senior,3,Nawabganj PS,Reported
1103,Bahariya Bazar Chowki,25.5935,81.8348,Fraud,1,11-07-2025,05:06,Morning,Young Male,Male,23,Adult,1,Bahariya PS,Unreported
2781,High Court Chowki,25.306,81.7395,Fraud,4,14-08-2025,13:17,Afternoon,Adult Male,Male,28,Adult,1,Civil Lines PS,Reported
3542,Salori Chowki,25.5126,81.7402,Assault,2,02-03-2025,17:21,Evening,Adult Male,Male,38,Adult,1,Colonelganj PS,Under Investigation
2769,Manda Chowki,25.5174,81.7461,Chain Snatching,5,03-08-2025,15:13,Afternoon,Adult Female,Female,28,Adult,1,Meja PS,Reported
3067,ADA Colony Chowki,25.3757,81.7487,Kidnapping,3,08-01-2025,17:01,Evening,Adult Female,Female,30,Adult,1,Naini PS,Unreported
3686,Saidabad Chowki,25.5205,81.8759,Assault,2,31-12-2025,03:21,Night,Young Male,Male,24,Adult,1,Handia PS,Reported
2574,Beli Road Chowki,25.515,81.7696,Harassment,5,12-08-2025,17:55,Evening,Young Female,Female,21,Adult,1,Colonelganj PS,Reported
1446,Manauri Chowki,25.5254,81.7092,Fraud,3,23-04-2025,20:49,Evening,Young Female,Female,18,Teen,3,Puramufti PS,Unreported
188,University Chowki,25.5958,81.856,Fraud,1,18-08-2025,05:50,Morning,Adult Female,Female,34,Adult,2,Colonelganj PS,Unreported
1149,Kaundhiyara Chowki,25.5496,81.7886,Theft,3,04-01-2025,22:38,Night,Adult Female,Female,36,Adult,3,Kaundhiyara PS,Unreported
2290,Ghantaghar Chowki,25.3507,81.7234,Fraud,1,14-05-2025,10:31,Morning,Older Female,Female,62,Senior,3,Kotwali PS,Under Investigation
2578,Tagore Town Chowki,25.4283,81.806,Fraud,1,25-06-2025,03:01,Night,Adult Female,Female,27,Adult,1,George Town PS,Closed
4933,Nawabganj Chowki,25.5012,81.7515,Assault,3,10-04-2025,04:08,Night,Adult Male,Male,29,Adult,1,Soraon PS,Under Investigation
4311,Sikandra Chowki,25.3093,81.7105,Robbery,4,20-03-2025,00:12,Night,Adult Male,Male,57,Adult,2,Phulpur PS,Unreported
